user_id,registration_date,registration_country,purchase_count,purchase_count_delivery,purchase_count_takeaway,first_purchase_day,last_purchase_day,breakfast_purchases,lunch_purchases,evening_purchases,dinner_purchases,late_night_purchases,total_purchases_eur,distinct_purchase_venue_count,min_purchase_value_eur,max_purchase_value_eur,avg_purchase_value_eur,preferred_device,ios_purchases,web_purchases,android_purchases,preferred_restaurant_types,user_has_valid_payment_method,most_common_hour_of_the_day_to_purchase,most_common_weekday_to_purchase,avg_days_between_purchases,median_days_between_purchases,average_delivery_distance_kms,purchase_count_by_store_type
38,2019-09-01,FIN,1,1.0,0.0,2020-10-17,2020-10-17,0.0,1.0,0.0,0.0,0.0,64.768,1.0,64.896,65.024,64.768,ios,1.0,0.0,0.0,['not mentioned'],1,6.0,5.0,69.0,69.0,7.431,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
40,2019-09-01,FIN,3,3.0,0.0,2019-11-03,2019-11-13,0.0,2.0,0.0,1.0,0.0,46.552,2.0,15.21,16.256,15.18,android,0.0,0.0,3.0,['middleeastern'],1,1.0,3.0,5.0,5.0,1.566,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
42,2019-09-01,DNK,1,1.0,0.0,2020-06-15,2020-06-15,0.0,1.0,0.0,0.0,0.0,38.456,1.0,38.532,38.608,38.456,ios,1.0,0.0,0.0,['not mentioned'],0,7.0,4.0,5.0,5.0,4.55,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
43,2019-09-01,GRC,2,2.0,0.0,2020-09-11,2020-09-18,0.0,2.0,0.0,0.0,0.0,12.144,2.0,6.084,6.096,6.072,android,2.0,0.0,0.0,['not mentioned'],0,12.0,2.0,7.0,7.0,0.271,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
45,2019-09-01,FIN,3,3.0,0.0,2020-01-04,2020-08-22,0.0,3.0,0.0,0.0,0.0,113.344,3.0,31.434,41.656,37.444,android,0.0,0.0,3.0,['not mentioned'],0,23.0,3.0,116.0,116.0,6.776,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
46,2019-09-01,DNK,1,1.0,0.0,2019-11-05,2019-11-05,0.0,1.0,0.0,0.0,0.0,55.66,1.0,55.77,55.88,55.66,web,0.0,1.0,0.0,['not mentioned'],1,23.0,6.0,116.0,116.0,8.617,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
49,2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,1.0,0.0,0.0,0.0,0.0,26.312,1.0,26.364,26.416,26.312,web,0.0,1.0,0.0,['not mentioned'],1,20.0,7.0,116.0,116.0,7.357,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
51,2019-09-01,GRC,1,1.0,0.0,2019-09-24,2019-09-24,0.0,0.0,0.0,1.0,0.0,9.108,1.0,9.126,9.144,9.108,android,0.0,0.0,1.0,['not mentioned'],0,10.0,5.0,116.0,116.0,0.862,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
54,2019-09-01,FIN,2,2.0,0.0,2019-09-02,2019-09-03,0.0,0.0,0.0,2.0,0.0,63.756,2.0,23.322,41.656,32.384,android,0.0,0.0,2.0,['not mentioned'],1,13.0,5.0,1.0,1.0,6.934,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
55,2019-09-01,GRC,1,1.0,0.0,2019-09-01,2019-09-01,1.0,0.0,0.0,0.0,0.0,6.072,1.0,6.084,6.096,6.072,android,0.0,0.0,1.0,['not mentioned'],0,23.0,1.0,1.0,1.0,3.596,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
57,2019-09-01,FIN,2,2.0,0.0,2019-09-01,2019-09-22,2.0,0.0,0.0,0.0,0.0,38.456,2.0,16.224,22.352,19.228,ios,2.0,0.0,0.0,['not mentioned'],1,7.0,7.0,21.0,21.0,4.817,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
58,2019-09-01,GRC,4,4.0,0.0,2020-01-08,2020-06-16,0.0,4.0,0.0,0.0,0.0,33.396,4.0,8.112,9.144,8.096,android,0.0,2.0,2.0,['not mentioned'],1,11.0,7.0,53.0,35.0,1.836,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 4, 'Retailstore': 0}"
59,2019-09-01,FIN,3,3.0,0.0,2019-09-01,2019-09-11,1.0,1.0,1.0,0.0,0.0,91.08,2.0,19.266,38.608,30.36,android,0.0,0.0,3.0,['american'],1,8.0,4.0,5.0,5.0,3.167,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
60,2019-09-01,GRC,1,1.0,0.0,2019-09-01,2019-09-01,1.0,0.0,0.0,0.0,0.0,7.084,1.0,7.098,7.112,7.084,android,0.0,0.0,1.0,['not mentioned'],1,21.0,7.0,5.0,5.0,4.256,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
65,2019-09-01,GRC,1,1.0,0.0,2020-07-23,2020-07-23,0.0,1.0,0.0,0.0,0.0,8.096,1.0,8.112,8.128,8.096,android,0.0,0.0,1.0,['not mentioned'],1,21.0,2.0,5.0,5.0,3.963,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
66,2019-09-01,FIN,8,8.0,0.0,2019-11-16,2020-10-25,0.0,2.0,0.0,5.0,0.0,276.276,6.0,11.154,68.072,34.408,android,4.0,0.0,4.0,['middleeastern'],0,12.0,4.0,49.0,34.0,9.94,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 4, 'Retailstore': 4}"
67,2019-09-01,FIN,1,1.0,0.0,2019-10-10,2019-10-10,0.0,0.0,0.0,1.0,0.0,17.204,1.0,17.238,17.272,17.204,ios,1.0,0.0,0.0,['not mentioned'],1,10.0,1.0,49.0,34.0,8.677,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
70,2019-09-01,GRC,16,16.0,0.0,2020-02-27,2020-10-26,0.0,11.0,0.0,5.0,0.0,322.828,7.0,6.084,35.56,20.24,ios,16.0,0.0,0.0,['not mentioned'],1,18.0,2.0,16.0,4.0,4.94,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 8, 'Retailstore': 8}"
71,2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,0.0,1.0,0.0,0.0,0.0,27.324,1.0,27.378,27.432,27.324,ios,1.0,0.0,0.0,['not mentioned'],1,4.0,1.0,16.0,4.0,8.043,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
72,2019-09-01,FIN,13,13.0,0.0,2019-09-07,2020-02-27,1.0,6.0,1.0,5.0,0.0,270.204,2.0,16.224,25.4,21.252,android,0.0,0.0,13.0,['not mentioned'],0,20.0,5.0,14.0,14.0,10.143,"{'Generalmerchandise': 1, 'Grocery': 6, 'Petsupplies': 0, 'Restaurant': 6, 'Retailstore': 0}"
75,2019-09-01,FIN,1,1.0,0.0,2020-01-03,2020-01-03,0.0,0.0,0.0,1.0,0.0,41.492,1.0,41.574,41.656,41.492,ios,0.0,1.0,0.0,['not mentioned'],1,20.0,6.0,14.0,14.0,1.881,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
76,2019-09-01,DNK,1,1.0,0.0,2020-09-26,2020-09-26,0.0,0.0,0.0,1.0,0.0,27.324,1.0,27.378,27.432,27.324,ios,1.0,0.0,0.0,['not mentioned'],0,3.0,5.0,14.0,14.0,3.941,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
78,2019-09-01,FIN,6,4.0,2.0,2020-04-09,2020-10-18,0.0,3.0,0.0,3.0,0.0,105.248,6.0,12.168,23.368,17.204,android,0.0,0.0,6.0,['japanese'],0,16.0,2.0,38.0,42.0,8.59,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 3}"
79,2019-09-01,FIN,3,3.0,0.0,2020-09-04,2020-09-20,0.0,2.0,0.0,1.0,0.0,74.888,3.0,21.294,32.512,25.3,android,0.0,0.0,3.0,['not mentioned'],0,16.0,2.0,8.0,8.0,8.265,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
80,2019-09-01,GRC,320,320.0,0.0,2019-09-01,2020-02-29,37.0,171.0,34.0,78.0,0.0,4335.408,34.0,6.084,33.528,13.156,web,0.0,196.0,124.0,['not mentioned'],1,3.0,4.0,1.0,1.0,4.407,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 160, 'Retailstore': 160}"
81,2019-09-01,GRC,2,2.0,0.0,2019-09-17,2019-10-22,0.0,0.0,2.0,0.0,0.0,15.18,2.0,7.098,8.128,7.084,android,0.0,0.0,2.0,['not mentioned'],1,11.0,1.0,35.0,35.0,11.145,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
83,2019-09-01,DNK,1,1.0,0.0,2019-10-06,2019-10-06,0.0,1.0,0.0,0.0,0.0,21.252,1.0,21.294,21.336,21.252,ios,1.0,0.0,0.0,['not mentioned'],1,14.0,4.0,35.0,35.0,8.572,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
85,2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,0.0,1.0,0.0,0.0,0.0,25.3,1.0,25.35,25.4,25.3,ios,1.0,0.0,0.0,['not mentioned'],1,17.0,3.0,35.0,35.0,6.434,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
87,2019-09-01,FIN,1,1.0,0.0,2020-06-16,2020-06-16,0.0,0.0,0.0,1.0,0.0,21.252,1.0,21.294,21.336,21.252,android,1.0,0.0,0.0,['not mentioned'],1,20.0,5.0,35.0,35.0,2.669,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
88,2019-09-01,DNK,1,1.0,0.0,2020-08-23,2020-08-23,0.0,1.0,0.0,0.0,0.0,26.312,1.0,26.364,26.416,26.312,ios,1.0,0.0,0.0,['not mentioned'],1,7.0,6.0,35.0,35.0,8.52,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
89,2019-09-01,FIN,5,4.0,1.0,2019-09-01,2020-09-26,0.0,2.0,0.0,3.0,0.0,135.608,3.0,20.28,35.56,27.324,android,0.0,0.0,5.0,['american'],1,19.0,4.0,98.0,91.0,11.773,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 5, 'Retailstore': 0}"
91,2019-09-01,FIN,5,5.0,0.0,2019-10-14,2020-10-28,0.0,1.0,0.0,4.0,0.0,134.596,3.0,22.308,33.528,27.324,ios,5.0,0.0,0.0,['italian'],0,13.0,6.0,95.0,91.0,3.669,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 5, 'Retailstore': 0}"
93,2019-09-01,FIN,2,2.0,0.0,2020-04-15,2020-08-28,0.0,1.0,0.0,1.0,0.0,65.78,2.0,26.364,40.64,33.396,android,0.0,0.0,2.0,['not mentioned'],0,2.0,5.0,135.0,135.0,1.373,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
94,2019-09-01,FIN,8,8.0,0.0,2019-09-08,2020-07-27,0.0,4.0,1.0,3.0,0.0,388.608,3.0,30.42,70.104,48.576,ios,3.0,0.0,5.0,['not mentioned'],0,8.0,4.0,46.0,49.0,7.973,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 4, 'Retailstore': 4}"
97,2019-09-01,DNK,1,1.0,0.0,2020-08-06,2020-08-06,0.0,1.0,0.0,0.0,0.0,35.42,1.0,35.49,35.56,35.42,ios,1.0,0.0,0.0,['not mentioned'],1,22.0,1.0,46.0,49.0,5.024,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
98,2019-09-01,FIN,1,1.0,0.0,2020-05-29,2020-05-29,0.0,0.0,0.0,1.0,0.0,49.588,1.0,49.686,49.784,49.588,android,0.0,0.0,1.0,['not mentioned'],0,23.0,7.0,46.0,49.0,10.774,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
100,2019-09-01,FIN,1,1.0,0.0,2020-02-12,2020-02-12,0.0,0.0,1.0,0.0,0.0,48.576,1.0,48.672,48.768,48.576,android,0.0,0.0,1.0,['not mentioned'],1,8.0,4.0,46.0,49.0,6.098,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
102,2019-09-01,DNK,11,10.0,1.0,2020-05-22,2020-10-15,0.0,8.0,0.0,3.0,0.0,269.192,6.0,17.238,51.816,24.288,ios,11.0,0.0,0.0,['not mentioned'],0,20.0,3.0,15.0,11.0,1.909,"{'Generalmerchandise': 1, 'Grocery': 5, 'Petsupplies': 0, 'Restaurant': 5, 'Retailstore': 0}"
103,2019-09-01,DNK,2,2.0,0.0,2020-05-01,2020-09-03,0.0,0.0,0.0,2.0,0.0,91.08,2.0,40.56,51.816,45.54,ios,2.0,0.0,0.0,['not mentioned'],0,11.0,4.0,125.0,125.0,0.989,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
104,2019-09-01,FIN,14,13.0,1.0,2019-10-18,2020-08-09,1.0,5.0,2.0,6.0,0.0,387.596,5.0,16.224,44.704,27.324,web,0.0,14.0,0.0,['not mentioned'],1,5.0,3.0,23.0,21.0,1.553,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 7, 'Retailstore': 7}"
106,2019-09-01,FIN,17,5.0,12.0,2019-09-21,2020-10-24,0.0,9.0,0.0,8.0,0.0,455.4,9.0,10.14,50.8,26.312,android,0.0,0.0,17.0,"['italian', 'middleeastern', 'american']",1,10.0,7.0,25.0,22.0,3.132,"{'Generalmerchandise': 1, 'Grocery': 8, 'Petsupplies': 0, 'Restaurant': 8, 'Retailstore': 0}"
107,2019-09-01,GRC,6,6.0,0.0,2020-07-15,2020-10-16,0.0,6.0,0.0,0.0,0.0,71.852,2.0,7.098,19.304,12.144,ios,5.0,1.0,0.0,['not mentioned'],1,5.0,5.0,19.0,17.0,9.059,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 3}"
109,2019-09-01,DNK,1,1.0,0.0,2019-09-15,2019-09-15,0.0,1.0,0.0,0.0,0.0,34.408,1.0,34.476,34.544,34.408,ios,1.0,0.0,0.0,['not mentioned'],0,18.0,2.0,19.0,17.0,11.22,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
111,2019-09-01,DNK,5,4.0,1.0,2019-09-01,2020-07-17,0.0,3.0,0.0,2.0,0.0,142.692,5.0,21.294,37.592,28.336,ios,5.0,0.0,0.0,['japanese'],0,13.0,7.0,80.0,81.0,7.414,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 5, 'Retailstore': 0}"
112,2019-09-01,DNK,2,0.0,2.0,2019-09-01,2019-10-10,0.0,2.0,0.0,0.0,0.0,48.576,1.0,24.336,24.384,24.288,web,0.0,2.0,0.0,['not mentioned'],1,0.0,7.0,39.0,39.0,6.874,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
116,2019-09-01,DNK,3,2.0,1.0,2019-12-29,2020-03-03,0.0,1.0,0.0,2.0,0.0,86.02,3.0,13.182,46.736,28.336,ios,3.0,0.0,0.0,['not mentioned'],0,15.0,2.0,33.0,33.0,8.944,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
117,2019-09-01,FIN,2,2.0,0.0,2019-09-01,2019-09-04,0.0,2.0,0.0,0.0,0.0,24.288,2.0,10.14,14.224,12.144,ios,2.0,0.0,0.0,['not mentioned'],1,23.0,5.0,3.0,3.0,3.244,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
118,2019-09-01,DNK,11,2.0,9.0,2019-09-01,2020-10-15,0.0,5.0,0.0,6.0,0.0,423.016,3.0,20.28,77.216,38.456,ios,11.0,0.0,0.0,['american'],0,21.0,4.0,41.0,24.0,10.705,"{'Generalmerchandise': 1, 'Grocery': 5, 'Petsupplies': 0, 'Restaurant': 5, 'Retailstore': 0}"
119,2019-09-01,FIN,4,2.0,2.0,2019-10-12,2020-05-23,0.0,4.0,0.0,0.0,0.0,72.864,3.0,12.168,22.352,18.216,ios,4.0,0.0,0.0,['not mentioned'],0,2.0,5.0,75.0,11.0,2.982,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 4, 'Retailstore': 0}"
120,2019-09-01,DNK,45,45.0,0.0,2019-09-01,2020-10-16,0.0,17.0,2.0,26.0,0.0,1189.1,16.0,17.238,46.736,26.312,ios,45.0,0.0,0.0,['not mentioned'],0,5.0,4.0,9.0,3.0,1.287,"{'Generalmerchandise': 0, 'Grocery': 22, 'Petsupplies': 1, 'Restaurant': 22, 'Retailstore': 0}"
123,2019-09-01,FIN,6,6.0,0.0,2019-09-01,2020-10-09,0.0,2.0,0.0,4.0,0.0,198.352,4.0,20.28,48.768,33.396,web,0.0,1.0,5.0,"['italian', 'mexican']",1,23.0,1.0,81.0,111.0,10.059,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 3}"
124,2019-09-01,DNK,17,17.0,0.0,2019-09-06,2020-09-26,0.0,4.0,0.0,13.0,0.0,383.548,8.0,14.196,35.56,22.264,ios,17.0,0.0,0.0,['not mentioned'],0,17.0,6.0,24.0,11.0,6.768,"{'Generalmerchandise': 1, 'Grocery': 8, 'Petsupplies': 0, 'Restaurant': 8, 'Retailstore': 0}"
125,2019-09-01,DNK,4,4.0,0.0,2019-09-01,2020-09-01,0.0,2.0,0.0,2.0,0.0,73.876,3.0,15.21,22.352,18.216,web,0.0,4.0,0.0,['not mentioned'],1,6.0,6.0,122.0,82.0,4.037,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 4, 'Retailstore': 0}"
126,2019-09-01,DNK,1,1.0,0.0,2019-09-01,2019-09-01,0.0,1.0,0.0,0.0,0.0,43.516,1.0,43.602,43.688,43.516,android,0.0,0.0,1.0,['not mentioned'],0,1.0,4.0,122.0,82.0,3.02,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 1, 'Retailstore': 0}"
127,2019-09-01,DNK,21,17.0,4.0,2019-09-01,2020-10-31,0.0,7.0,0.0,14.0,0.0,704.352,5.0,23.322,53.848,33.396,ios,20.0,1.0,0.0,['american'],1,16.0,6.0,21.0,12.0,10.398,"{'Generalmerchandise': 1, 'Grocery': 10, 'Petsupplies': 0, 'Restaurant': 10, 'Retailstore': 0}"
129,2019-09-01,DNK,2,2.0,0.0,2019-09-01,2019-09-19,0.0,1.0,0.0,1.0,0.0,104.236,2.0,41.574,62.992,51.612,web,1.0,1.0,0.0,['not mentioned'],1,6.0,5.0,18.0,18.0,4.856,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 2, 'Retailstore': 0}"
131,2019-09-01,DNK,3,3.0,0.0,2019-09-28,2020-10-31,0.0,2.0,0.0,1.0,0.0,164.956,2.0,39.546,64.008,54.648,web,0.0,2.0,1.0,['not mentioned'],1,16.0,3.0,399.0,399.0,8.1,"{'Generalmerchandise': 0, 'Grocery': 0, 'Petsupplies': 0, 'Restaurant': 3, 'Retailstore': 0}"
